GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet SecondPassword(SHA256),combinator,277953.0,278394.0,278136.0,278122.5,96.0,97.0,96.88,97.0,66.0,68.0,67.25,67.0,2242.83,6774.12,6270.68,6774.12,19.91,60.14,55.67,60.14,6.0,97.0,76.78,96.5,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet,combinator,31982680.0,33108359.0,32562950.25,32596641.5,67.0,69.0,67.88,68.0,60.0,62.0,60.88,60.5,2208.08,7261.23,6432.32,7208.73,19.6,64.46,57.11,64.0,1.0,76.0,57.16,74.0,
NVIDIA GeForce GTX 1080 Ti,BSDiCrypt ExtendedDES,combinator,2085703.0,2188736.0,2136066.78,2128888.0,59.0,62.0,60.67,60.0,60.0,63.0,61.33,61.0,2181.02,7265.67,6419.07,7265.67,19.36,64.5,56.99,64.5,0.0,97.0,54.17,68.0,
NVIDIA GeForce GTX 1080 Ti,ChaCha20,combinator,899098336.0,939489334.0,916208082.67,911765047.0,41.0,44.0,42.89,43.0,60.0,65.0,61.56,61.0,2223.48,5250.12,3738.09,3738.89,19.74,46.61,33.19,33.19,6.0,95.0,32.83,7.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-ASAMD5,combinator,2634770509.0,4122277051.0,3433622069.78,3478735774.0,25.0,54.0,47.0,50.0,69.0,72.0,70.89,71.0,1534.98,4561.62,3264.74,4561.62,13.63,40.5,28.98,40.5,0.0,95.0,33.0,0.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$8$(PBKDF2-SHA256),combinator,68250.0,70780.0,69617.62,69945.5,91.0,97.0,96.12,97.0,70.0,74.0,71.12,70.0,2253.85,8308.0,7629.18,8303.09,20.01,73.76,67.73,73.71,1.0,98.0,76.11,97.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$9$(scrypt),combinator,8335.0,8493.0,8414.38,8423.5,88.0,95.0,93.38,94.0,58.0,60.0,59.0,59.0,2249.89,4271.38,3929.49,4265.25,19.97,37.92,34.89,37.87,1.0,96.0,73.94,94.5,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOStype4(SHA256),combinator,2098076256.0,2173379516.0,2143298086.25,2153909717.0,84.0,92.0,91.0,92.0,67.0,74.0,70.12,70.0,1532.52,4566.69,4061.96,4566.69,13.61,40.54,36.06,40.54,0.0,96.0,70.67,94.5,
NVIDIA GeForce GTX 1080 Ti,Cisco-PIXMD5,combinator,2566933278.0,2938805156.0,2703798257.88,2657487545.0,22.0,52.0,47.0,51.0,67.0,69.0,68.12,68.0,1534.98,4561.62,4057.28,4561.62,13.63,40.5,36.02,40.5,0.0,53.0,36.28,51.0,
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA1),combinator,2267064479.0,2354358134.0,2314695760.0,2316724438.0,95.0,96.0,95.67,96.0,63.0,66.0,64.11,63.0,2241.52,5281.0,4933.7,5267.59,19.9,46.88,43.8,46.76,1.0,98.0,78.89,95.0,
