GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2PKH) compressed26,hybrid,4283699348.0,9500400760.0,9039317206.0,9404787108.0,34.0,88.0,79.38,87.0,55.0,56.0,55.38,55.0,1137.56,4170.21,2569.83,1276.21,10.1,37.02,22.81,11.33,0.0,89.0,29.48,0.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2PKH) uncompressed27,hybrid,4597862150.0,8199758240.0,7863516860.0,8189155475.5,28.0,79.0,70.33,78.5,55.0,55.0,55.0,55.0,1137.56,4176.21,2819.89,4176.21,10.1,37.08,25.03,37.08,0.0,79.0,26.89,0.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2SH(P2WPKH)) compressed30,hybrid,8084661064.0,8196044469.0,8153124246.27,8186440431.0,78.0,79.0,78.36,78.0,55.0,56.0,55.18,55.0,1132.04,4183.77,2494.53,1271.77,10.05,37.14,22.15,11.29,0.0,88.0,28.15,0.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2SH(P2WPKH)) uncompressed31,hybrid,4614867406.0,8168310673.0,7804959342.77,8068899954.0,33.0,80.0,75.23,79.0,56.0,56.0,56.0,56.0,1132.41,4185.77,2714.88,2728.77,10.05,37.16,24.1,24.23,0.0,88.0,23.67,0.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2WPKH Bech32) compressed28,hybrid,6121849088.0,19882087473.0,15742615419.08,15567338733.0,14.0,89.0,79.0,87.0,56.0,59.0,57.33,56.5,1133.12,4165.77,3809.21,4165.77,10.06,36.98,33.82,36.98,0.0,88.0,58.18,87.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2WPKH Bech32) uncompressed29,hybrid,3198376205.0,20800513881.0,13257945658.54,12153740113.0,5.0,70.0,52.0,68.0,56.0,60.0,57.31,56.0,1135.41,4176.21,3818.6,4176.21,10.08,37.08,33.9,37.08,0.0,79.0,48.06,71.0,
NVIDIA GeForce GTX 1080 Ti,BitLocker,hybrid,85.0,85.0,85.0,85.0,99.0,99.0,99.0,99.0,50.0,50.0,50.0,50.0,1146.19,2600.84,1993.04,2600.84,10.18,23.09,17.69,23.09,0.0,99.0,49.52,70.0,
NVIDIA GeForce GTX 1080 Ti,BitSharesv0.x-sha512(sha512_bin(pass)),hybrid,160615604.0,172467651.0,163281260.55,162293900.0,35.0,95.0,89.27,95.0,56.0,57.0,56.91,57.0,1146.19,4172.84,2961.95,4172.84,10.18,37.05,26.3,37.05,0.0,95.0,39.9,8.0,
NVIDIA GeForce GTX 1080 Ti,Bitwarden,hybrid,6288.0,6328.0,6315.0,6319.5,96.0,97.0,96.38,96.0,58.0,59.0,58.62,59.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($pass.$salt),hybrid,46090049.0,47856353.0,46708364.08,46427867.5,94.0,95.0,94.08,94.0,50.0,51.0,50.92,51.0,1146.06,4182.71,2992.47,4182.71,10.17,37.13,26.57,37.13,0.0,96.0,37.03,11.5,
