GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Serpent-AES),force,0.0,102521.0,46054.35,9721.5,86.0,96.0,91.88,93.0,51.0,60.0,54.38,55.0,1141.1,8938.46,8102.72,8938.46,10.13,79.35,71.93,79.35,0.0,98.0,74.78,89.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Twofish-Serpent),force,0.0,102523.0,46074.38,9727.0,85.0,95.0,91.58,92.0,51.0,59.0,53.58,54.5,1141.81,8938.46,7921.51,8938.46,10.14,79.35,70.33,79.35,0.0,98.0,73.83,90.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1536 bit (AES-Twofish-Serpent),force,5.0,5.0,5.0,5.0,68.0,69.0,68.75,69.0,51.0,51.0,51.0,51.0,1144.1,8942.9,4538.9,1284.9,10.16,79.39,40.3,11.41,0.0,97.0,34.28,0.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (AES),force,0.0,166348.0,93295.91,153173.0,66.0,96.0,84.55,89.0,49.0,53.0,50.82,51.5,1139.23,8952.9,5878.59,8952.9,10.11,79.48,52.19,79.48,0.0,99.0,51.75,79.5,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Serpent),force,1945.0,177925.0,141804.14,175743.0,84.0,94.0,92.5,94.0,55.0,55.0,55.0,55.0,1144.23,8953.46,8052.59,8953.46,10.16,79.49,71.49,79.49,0.0,98.0,73.81,93.5,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Twofish),force,0.0,163783.0,124433.47,161850.0,83.0,97.0,89.73,90.0,53.0,55.0,53.27,53.0,1146.25,8952.9,8052.21,8952.9,10.18,79.48,71.49,79.48,0.0,97.0,75.27,93.5,
NVIDIA GeForce GTX 1080 Ti,Django(PBKDF2-SHA256),force,5.0,6.0,5.44,5.0,74.0,85.0,77.89,76.0,55.0,57.0,55.67,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,DNSSEC(NSEC3),force,62960410.0,350948939.0,322678851.29,350638899.0,95.0,98.0,95.86,96.0,57.0,59.0,58.14,58.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,DomainCachedCredentials(DCC) MSCache,force,0.0,998570435.0,769146475.79,955683665.5,59.0,96.0,88.5,92.5,55.0,65.0,56.57,55.5,1149.44,4176.09,2456.93,1288.09,10.2,37.07,21.81,11.44,0.0,97.0,38.92,0.0,
NVIDIA GeForce GTX 1080 Ti,DomainCachedCredentials2(DCC2) MSCache2,force,9.0,140080.0,58702.5,13306.0,68.0,83.0,74.93,71.0,53.0,57.0,54.33,53.0,1147.23,5920.09,4621.8,5920.09,10.18,52.56,41.03,52.56,0.0,99.0,61.17,86.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1(context3),force,3.0,3.0,3.0,3.0,77.0,78.0,77.38,77.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1+localcontext,force,4.0,5.0,4.56,5.0,84.0,88.0,86.44,87.0,56.0,59.0,57.22,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2(context3),force,2.0,2.0,2.0,2.0,81.0,89.0,84.25,82.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2+ActiveDirectorydomaincontext,force,0.0,6.0,5.33,6.0,87.0,98.0,89.11,88.0,54.0,57.0,55.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,Drupal7,force,4.0,4.0,4.0,4.0,67.0,70.0,67.78,67.0,53.0,54.0,53.33,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,eCryptfs,force,0.0,0.0,0.0,0.0,91.0,92.0,91.11,91.0,53.0,54.0,53.56,54.0,1147.23,5856.09,3745.0,5856.09,10.18,51.99,33.25,51.99,0.0,98.0,43.71,42.5,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type1-3),force,193447065.0,324964905.0,312421650.23,324889055.0,96.0,97.0,96.08,96.0,58.0,61.0,60.15,60.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type4),force,13.0,84584.0,35868.86,10862.5,89.0,98.0,94.68,95.0,56.0,59.0,56.93,56.0,1140.73,6859.65,4883.37,6859.65,10.13,60.9,43.35,60.9,0.0,98.0,48.94,75.5,
NVIDIA GeForce GTX 1080 Ti,ElectrumWallet(Salt-Type5),force,12.0,75765.0,31817.62,12645.0,82.0,100.0,90.48,89.0,56.0,58.0,56.72,56.0,1147.29,4768.09,2966.43,1288.09,10.19,42.33,26.34,11.44,0.0,98.0,43.31,0.0,
NVIDIA GeForce GTX 1080 Ti,EthereumPre-SaleWallet PBKDF2-HMAC-SHA256,force,1291.0,558135.0,388480.19,424599.0,65.0,97.0,89.69,91.0,54.0,64.0,60.19,60.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,EthereumWallet PBKDF2-HMAC-SHA256,force,0.0,0.0,0.0,0.0,66.0,73.0,68.0,67.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,EthereumWallet SCRYPT,force,0.0,0.0,0.0,0.0,93.0,100.0,97.44,100.0,53.0,54.0,53.44,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,ExodusDesktopWallet(scrypt),force,361.0,362.0,361.5,361.5,99.0,100.0,99.62,100.0,53.0,54.0,53.62,54.0,1145.0,8675.65,4479.64,1283.65,10.17,77.02,39.77,11.4,0.0,100.0,38.78,0.0,
NVIDIA GeForce GTX 1080 Ti,FileVault2,force,5.0,5.0,5.0,5.0,76.0,78.0,76.67,76.0,54.0,55.0,54.22,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,FileZillaServer-=0.9.55,force,89446586.0,266039001.0,248719891.46,263830485.0,82.0,97.0,92.54,93.0,57.0,62.0,60.38,61.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,FlaskSessionCookie($salt.$salt.$pass),force,43174144.0,73480139.0,68783656.31,73106139.5,95.0,98.0,96.0,96.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,FortiGate(FortiOS),force,390321414.0,5086296040.0,3397874021.0,4510312139.0,85.0,97.0,94.2,96.0,64.0,70.0,66.8,68.0,1145.62,4177.09,2322.97,1288.09,10.17,37.08,20.62,11.44,0.0,98.0,23.6,0.0,
NVIDIA GeForce GTX 1080 Ti,FortiGate256(FortiOS256),force,0.0,960824491.0,503849846.4,512080315.0,93.0,98.0,95.0,95.0,56.0,58.0,56.8,56.0,1147.04,4176.09,2299.54,1288.09,10.18,37.07,20.41,11.44,0.0,98.0,26.07,0.0,
NVIDIA GeForce GTX 1080 Ti,GOSTR34.11-2012(Streebog)256-bit big-endian,force,0.0,45187460.0,41864640.71,45090290.0,97.0,98.0,97.82,98.0,56.0,57.0,56.82,57.0,1144.29,4171.65,3114.42,4171.65,10.16,37.04,27.65,37.04,0.0,99.0,51.84,76.0,
NVIDIA GeForce GTX 1080 Ti,GOSTR34.11-2012(Streebog)512-bit big-endian,force,0.0,45059263.0,41919966.59,44934457.0,97.0,98.0,97.76,98.0,60.0,62.0,61.71,62.0,1149.44,4176.09,3119.85,4176.09,10.2,37.07,27.7,37.07,0.0,99.0,54.68,80.0,
