GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,descrypt DES(Unix) TraditionalDES,dict4,79640427.0,80273186.0,79944138.2,79980441.0,41.0,49.0,45.2,44.0,69.0,70.0,69.4,69.0,1145.81,2230.46,1980.56,2230.46,10.17,19.8,17.58,19.8,0.0,32.0,21.31,26.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (AES-Twofish),dict4,269289.0,270951.0,270382.83,270595.0,97.0,98.0,97.67,98.0,86.0,91.0,89.5,90.0,1143.85,8880.09,7913.41,8880.09,10.15,78.84,70.25,78.84,0.0,99.0,79.38,97.5,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Serpent-AES),dict4,273815.0,273815.0,273815.0,273815.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,1140.73,8875.65,6298.29,8875.65,10.13,78.8,55.92,78.8,0.0,99.0,54.11,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (Twofish-Serpent),dict4,270398.0,272855.0,271550.29,271760.0,95.0,98.0,97.0,97.0,88.0,91.0,89.71,90.0,1145.0,8875.65,7158.14,8875.65,10.17,78.8,63.55,78.8,0.0,98.0,64.89,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1536 bit (AES-Twofish-Serpent),dict4,171168.0,177306.0,173508.41,173002.0,84.0,97.0,95.82,97.0,79.0,91.0,86.76,88.0,1140.73,8875.65,8203.23,8875.65,10.13,78.8,72.83,78.8,0.0,100.0,84.39,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (AES),dict4,556924.0,563457.0,560023.0,560171.0,28.0,97.0,90.0,97.0,80.0,91.0,86.8,86.0,1148.16,8891.02,7923.25,8890.9,10.19,78.93,70.34,78.93,0.0,98.0,79.75,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Serpent),dict4,561993.0,574249.0,566495.5,564204.0,89.0,97.0,95.88,97.0,85.0,91.0,88.0,88.5,1144.29,8885.65,8212.52,8885.65,10.16,78.89,72.91,78.89,0.0,99.0,81.61,97.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 512 bit (Twofish),dict4,578494.0,578494.0,578494.0,578494.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,1145.41,8886.21,8213.1,8886.21,10.17,78.89,72.91,78.89,0.0,98.0,84.57,97.0,
NVIDIA GeForce GTX 1080 Ti,Django(PBKDF2-SHA256),dict4,78103.0,81692.0,79071.67,78758.0,96.0,97.0,96.94,97.0,82.0,85.0,83.61,84.0,1143.79,7130.46,6349.89,7130.46,10.15,63.3,56.37,63.3,0.0,97.0,81.7,97.0,
NVIDIA GeForce GTX 1080 Ti,DNSSEC(NSEC3),dict4,142397174.0,144925780.0,143659425.6,143545477.0,44.0,48.0,46.2,46.0,66.0,66.0,66.0,66.0,1145.16,2230.46,1989.36,2230.46,10.17,19.8,17.66,19.8,0.0,51.0,33.33,44.0,
